location,date,variant,num_sequences,perc_sequences,num_sequences_total
Sweden,2021-06-14,Gamma,10,0.31,3278
Sweden,2021-06-14,Delta,758,23.12,3278
Sweden,2021-06-14,Kappa,0,0.0,3278
Sweden,2021-06-14,Epsilon,0,0.0,3278
Sweden,2021-06-14,Eta,0,0.0,3278
Sweden,2021-06-14,Iota,0,0.0,3278
Sweden,2021-06-14,Lambda,0,0.0,3278
Sweden,2021-06-14,B.1.621,0,0.0,3278
Sweden,2021-06-14,S:677P.Pelican,,,3278
Sweden,2021-06-14,S:677H.Robin1,,,3278
Sweden,2021-06-14,others,15,0.46,3278
Sweden,2021-06-14,non_who,18,0.55,3278
Sweden,2021-06-28,B.1.160,0,0.0,2691
Sweden,2021-06-28,B.1.620,0,0.0,2691
Sweden,2021-06-28,B.1.258,0,0.0,2691
Sweden,2021-06-28,B.1.221,0,0.0,2691
Sweden,2021-06-28,B.1.1.302,0,0.0,2691
Sweden,2021-06-28,B.1.1.277,0,0.0,2691
Sweden,2021-06-28,B.1.1.519,0,0.0,2691
Sweden,2021-06-28,B.1.367,0,0.0,2691
Sweden,2021-06-28,B.1.177,0,0.0,2691
Sweden,2021-06-28,Beta,13,0.48,2691
Sweden,2021-06-28,Alpha,1564,58.12,2691
Sweden,2021-06-28,Gamma,24,0.89,2691
Sweden,2021-06-28,Delta,1070,39.76,2691
Sweden,2021-06-28,Kappa,0,0.0,2691
Sweden,2021-06-28,Epsilon,0,0.0,2691
Sweden,2021-06-28,Eta,1,0.04,2691
Sweden,2021-06-28,Iota,0,0.0,2691
Sweden,2021-06-28,Lambda,0,0.0,2691
Sweden,2021-06-28,B.1.621,0,0.0,2691
Sweden,2021-06-28,S:677P.Pelican,,,2691
Sweden,2021-06-28,S:677H.Robin1,,,2691
Sweden,2021-06-28,others,19,0.71,2691
Sweden,2021-06-28,non_who,19,0.71,2691
Sweden,2021-07-12,B.1.160,0,0.0,1946
Sweden,2021-07-12,B.1.620,0,0.0,1946
Sweden,2021-07-12,B.1.258,0,0.0,1946
Sweden,2021-07-12,B.1.221,0,0.0,1946
Sweden,2021-07-12,B.1.1.302,0,0.0,1946
Sweden,2021-07-12,B.1.1.277,0,0.0,1946
Sweden,2021-07-12,B.1.1.519,0,0.0,1946
Sweden,2021-07-12,B.1.367,0,0.0,1946
Sweden,2021-07-12,B.1.177,0,0.0,1946
Sweden,2021-07-12,Beta,4,0.21,1946
Sweden,2021-07-12,Alpha,578,29.7,1946
Sweden,2021-07-12,Gamma,4,0.21,1946
Sweden,2021-07-12,Delta,1335,68.6,1946
Sweden,2021-07-12,Kappa,0,0.0,1946
Sweden,2021-07-12,Epsilon,0,0.0,1946
Sweden,2021-07-12,Eta,0,0.0,1946
Sweden,2021-07-12,Iota,0,0.0,1946
Sweden,2021-07-12,Lambda,2,0.1,1946
Sweden,2021-07-12,B.1.621,1,0.05,1946
Sweden,2021-07-12,S:677P.Pelican,,,1946
Sweden,2021-07-12,S:677H.Robin1,,,1946
Sweden,2021-07-12,others,22,1.13,1946
Sweden,2021-07-12,non_who,23,1.18,1946
Sweden,2021-07-26,B.1.160,0,0.0,1964
Sweden,2021-07-26,B.1.620,0,0.0,1964
Sweden,2021-07-26,B.1.258,0,0.0,1964
Sweden,2021-07-26,B.1.221,0,0.0,1964
Sweden,2021-07-26,B.1.1.302,0,0.0,1964
Sweden,2021-07-26,B.1.1.277,0,0.0,1964
Sweden,2021-07-26,B.1.1.519,0,0.0,1964
Sweden,2021-07-26,B.1.367,0,0.0,1964
Sweden,2021-07-26,B.1.177,0,0.0,1964
Sweden,2021-07-26,Beta,1,0.05,1964
Sweden,2021-07-26,Alpha,121,6.16,1964
Sweden,2021-07-26,Gamma,8,0.41,1964
Sweden,2021-07-26,Delta,1821,92.72,1964
Sweden,2021-07-26,Kappa,0,0.0,1964
Sweden,2021-07-26,Epsilon,0,0.0,1964
Sweden,2021-07-26,Eta,0,0.0,1964
Sweden,2021-07-26,Iota,0,0.0,1964
Sweden,2021-07-26,Lambda,1,0.05,1964
Sweden,2021-07-26,B.1.621,1,0.05,1964
Sweden,2021-07-26,S:677P.Pelican,,,1964
Sweden,2021-07-26,S:677H.Robin1,,,1964
Sweden,2021-07-26,others,11,0.56,1964
Sweden,2021-07-26,non_who,12,0.61,1964
Sweden,2021-08-09,B.1.160,0,0.0,614
Sweden,2021-08-09,B.1.620,0,0.0,614
Sweden,2021-08-09,B.1.258,0,0.0,614
Sweden,2021-08-09,B.1.221,0,0.0,614
Sweden,2021-08-09,B.1.1.302,0,0.0,614
Sweden,2021-08-09,B.1.1.277,0,0.0,614
Sweden,2021-08-09,B.1.1.519,0,0.0,614
Sweden,2021-08-09,B.1.367,0,0.0,614
Sweden,2021-08-09,B.1.177,0,0.0,614
Sweden,2021-08-09,Beta,0,0.0,614
Sweden,2021-08-09,Alpha,5,0.81,614
Sweden,2021-08-09,Gamma,0,0.0,614
Sweden,2021-08-09,Delta,608,99.02,614
Sweden,2021-08-09,Kappa,0,0.0,614
Sweden,2021-08-09,Epsilon,0,0.0,614
Sweden,2021-08-09,Eta,0,0.0,614
Sweden,2021-08-09,Iota,0,0.0,614
Sweden,2021-08-09,Lambda,0,0.0,614
Sweden,2021-08-09,B.1.621,0,0.0,614
Sweden,2021-08-09,S:677P.Pelican,,,614
Sweden,2021-08-09,S:677H.Robin1,,,614
Sweden,2021-08-09,others,1,0.17,614
Sweden,2021-08-09,non_who,1,0.17,614
Switzerland,2020-05-11,B.1.160,0,0.0,106
Switzerland,2020-05-11,B.1.620,0,0.0,106
Switzerland,2020-05-11,B.1.258,0,0.0,106
Switzerland,2020-05-11,B.1.221,0,0.0,106
Switzerland,2020-05-11,B.1.1.302,,,106
Switzerland,2020-05-11,B.1.1.277,0,0.0,106
Switzerland,2020-05-11,B.1.1.519,0,0.0,106
Switzerland,2020-05-11,B.1.367,0,0.0,106
